Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
A - Decks/Rec,Row 4 Col 2,PUSH PAD MODE,"Off,
Hotcues,
Slices",6,"Toggle on output for slice and hotcue highlighting, to highlight the current playing slice on Push's 16 pad grid",-,10,60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 1' (for CT6 - Deck A, CT6 - Deck B)","src/streamdeck-xl/icons/push-pad-mode.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/leds-to-push.xml,
src/traktor/CT6 - Deck A.tsi,
src/traktor/CT6 - Deck B.tsi"
A - Decks/Rec,Row 4 Col 3,FREEZE,"Off,
On",6,"Toggle freeze mode on and off, easier than using the S8 as Supreme Mod makes Freeze a SHIFTed function",-,10,61,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Freeze Mode On',"src/streamdeck-xl/icons/freeze.png,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 4,FREEZE SLICE COUNT,"8,
16",6,"Required to achieve 16 slices, as defaults to 8 slices after freeze is engaged",-,10,64,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Freeze Slice Count Adjust',"src/streamdeck-xl/icons/freeze-slice-count.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-count.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 5,FREEZE SLICE SIZE,"1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats",6,Useful for isolating stabs and drum hits,-,10,63,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Freeze Slice Size Adjust',"src/streamdeck-xl/icons/freeze-slice-size.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 6,Stop Hand,Pause,6,Toggle playback of the focussed deck. This is required to stop playback after exiting freeze mode.,-,10,65,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Play/Pause (Deck Common)',src/traktor/CT6 - Streamdeck XL.tsi
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 1 Col 8,A,Decks/Rec,5,View page 'A Decks/Rec',1,-,-,-,-,-,-,Switches profile page,src/streamdeck-xl/icons/button-creator/a.png
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 1 Col 8,A,Decks/Rec,5,Optimise layout for mixing,2,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 1 Col 8,A,Decks/Rec,5,Sync state of all buttons with Traktor,3,10,36,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Send Monitor State',src/traktor/CT6 - Streamdeck XL.tsi
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 2 Col 8,B,Rmx Deck,5,View page 'B Rmx Deck',1,-,-,-,-,-,-,Switches profile page,src/streamdeck-xl/icons/button-creator/b.png
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 2 Col 8,B,Rmx Deck,5,Bring Traktor window to front to receive mouse clicks,2,-,-,-,-,-,-,Focusses Traktor application,-
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 2 Col 8,B,Rmx Deck,5,Optimise layout for mixing,3,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 2 Col 8,B,Rmx Deck,5,Sync state of all buttons with Traktor,4,10,36,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Send Monitor State',src/traktor/CT6 - Streamdeck XL.tsi
